n_models,rms_train,rms_test,rms_all,rms_h0_all,rms_h0_test,midpoint_h_0.0,midpoint_h_0.2,midpoint_h_0.4,midpoint_h_0.6,midpoint_h_0.8,midpoint_h_1.0
2,0.011963584926883973,0.5762687013043,0.5390666053565313,0.2569232423032027,0.274340906864424,124.34231825087643,124.72778691540907,125.07232541478292,124.88356732101205,123.71036318821704,120.76674060894777
3,0.017175072832653626,0.14052617985442006,0.12688672194585102,0.06632560700247361,0.07094739547763144,0.02814943074880194,0.36569526585670153,0.7359206906534652,0.6168683144509561,0.3542255143822235,2.5504122478938416
4,0.020189102705229615,0.15763854852227588,0.13689168693594225,0.2676753547899451,0.3078902830432921,1.5333854846946136,1.0435187965016177,0.5941556085941366,0.7374453906834375,2.2583436551195324,9.280207908415198
5,0.056411300157603574,0.2296017671334293,0.19296985841480607,0.37572264115875714,0.4525913322727362,3.059147242592045,2.715786976675014,2.419858011935378,2.6582118760261633,3.848855549963917,6.560259922662937
6,0.05342054138765917,0.20962769720087857,0.1689231037688332,0.3219706464338797,0.4062603090452898,2.021246860860064,1.7816113643205322,1.525871265421085,1.6399191628869043,2.261466408849065,2.9872254885939262
7,0.05840759328489204,0.05944513937592257,0.058993458340808484,0.066435114067367,0.08284282930433717,0.4843069884930091,0.3982957067486011,0.11896520168177022,0.02861465341495739,0.006211915717467598,0.390872474351446
8,0.0562214343346488,0.035999041284050334,0.047205829364687514,0.03462535676948208,0.030289818594617317,0.35735827223511074,0.3037209081914263,0.013979793088572195,0.18008869290734308,0.2346454278188661,0.7220238094095119
9,0.05310673922687476,0.03647234882806631,0.0465661876828661,0.03232762387602275,0.025166357882404303,0.3374806260370611,0.3013647413277287,0.009307538472080407,0.20201887777036243,0.28507357939912104,0.8093682147534564
10,0.05053815603396105,0.03674158466665187,0.04585351432553345,0.031974696279289075,0.02561199663116818,0.3344073944123398,0.2906887849259223,0.002648492482159648,0.21057967936876676,0.2867844892857496,0.801687354139609
11,0.048365862501405364,0.03806884019482845,0.0453996187893207,0.031550094934802445,0.019740289188185083,0.31336978135581406,0.2926414014592892,0.006145962087298035,0.2396077361036637,0.35548157961791316,0.9199182777280239
12,0.04654763894237588,0.04164000640415625,0.04537052514206645,0.03244339955282097,0.02153211636115297,0.29841387552908505,0.29668857992970743,0.006127884852840104,0.25849636903303763,0.40282359224465436,1.0017158104265909
13,0.04707769190081207,0.023842725322112335,0.04367310715958271,0.038255486174710224,0.049742779246680656,0.2671288390022948,0.2498515599852571,0.057169605888565345,0.30640332820052874,0.44284657578657893,1.0308125277415319
14,0.04604233634735518,0.018893674581216484,0.04358360943841416,0.038847317779794104,0.05342072506145492,0.2665925728594962,0.2346175644445634,0.07104899815976254,0.3082814251789594,0.42569477372894804,0.990061329755926
15,0.04471957758766983,0.018620651095069378,0.04354906567704599,0.03800321855235854,0.055604974414192654,0.26908501549751773,0.23122280746747326,0.07196829224523868,0.30097532945177685,0.4062304339769369,0.9557851788354195
16,0.043510572894641115,,0.043510572894641115,0.03601618250558151,,0.2739247205853086,0.2266070294872855,0.07054148262376667,0.2823935734181868,0.36255674493068346,0.8814046563415241
