n_models,rms_train,rms_test,rms_all,rms_h0_all,rms_h0_test,midpoint_h_0.0,midpoint_h_0.2,midpoint_h_0.4,midpoint_h_0.6,midpoint_h_0.8,midpoint_h_1.0
2,0.011963584926877437,0.5331995907254332,0.4987804818019508,0.25687265214887156,0.27428676052005363,7.31976171915322,7.520154213111764,7.701250110918817,7.51039984346596,6.496420388038933,3.6533162542317528
3,0.03872177386878524,0.44828857776678793,0.40442958006809104,0.2497296872539107,0.27660220374156,2.2633955258300635,2.2977896596293705,2.423350442981171,2.4315832005368367,2.2524687681740487,2.19853320775998
4,0.04343384745731283,0.277345792850353,0.2411682843681554,0.16811683962446733,0.192623602745104,0.6685047988401256,1.413890261809439,2.4259379018919036,4.492642034170934,3.470878487523381,4.913417351134866
5,0.07779806113780259,0.055241404592678026,0.06316171317494176,0.0893442908093646,0.10547612210192563,0.2669978910962747,0.1409036326916967,0.00026709060238834514,0.12330558117693924,0.7290418792536024,1.8440838634592516
6,0.07287100662975682,0.07844119414484416,0.07639997997058624,0.12996927278305082,0.1625367012038226,0.38853544585882926,0.3007544904684476,0.18893958923298199,0.31643399842996,0.8589431373958254,1.7249668829005889
7,0.06945068910278586,0.030700968466073758,0.05138502499558872,0.04927262828873364,0.05218824464273694,0.10144381156733129,0.10078348975225238,0.0036629499121582573,0.010280634452692672,0.14046112673845723,0.11969694540915254
8,0.06567963917218181,0.03502283501630633,0.05263275583877122,0.05121803204006091,0.05648332114888529,0.0012997024996459494,0.04700726676809219,0.05984364376413365,0.13497238390874877,0.13826121139066672,0.4245261796432307
9,0.06236452617862783,0.032325381560332114,0.05142866368847133,0.051725958410817625,0.061064281947150544,0.012557170575934196,0.06128153833195704,0.04073189267470539,0.13389073164088527,0.18049474633367102,0.5380544011226891
10,0.05924050548878831,0.03299222851369865,0.051005696838363215,0.05094382034410549,0.06425324224264606,0.010684155920729577,0.06581215315981492,0.03440613720398521,0.12668287024081393,0.17337132708059833,0.5320386142990259
11,0.056850313113717674,0.03253225197261071,0.05052429873613556,0.04896080546593885,0.05990961140627957,0.002127542714385422,0.06815712118445882,0.029097184069094163,0.10855090494266872,0.13182153497929172,0.4556833920877006
12,0.05522802355639109,0.030267990020161346,0.050166111513890665,0.050102877211554285,0.06677914572155148,0.0170554936050622,0.07749392411236322,0.0169968145671713,0.11625194327478794,0.18301937504810772,0.5752757548432226
13,0.05340923327040108,0.03306683517539003,0.050226578712412547,0.051788074466533725,0.07907969894840551,0.029226496436506988,0.08323325373542345,0.011309663081834509,0.12810292291048364,0.22943682693876322,0.6728484352560078
14,0.051831104811354535,0.033465260883450684,0.04990637192252702,0.049660540991048885,0.07230039809781087,0.02321733327568065,0.08052746270558364,0.009652739480591158,0.10946934850831025,0.18165762230420524,0.5841817192823671
15,0.05059115615501843,0.031986200644214945,0.0496330870288245,0.047802440422231474,0.06825025361486214,0.025914440491629165,0.07487991894950685,0.007035523216929518,0.0872680282659214,0.12844606140035864,0.4884242803627519
16,0.04952706570777954,,0.04952706570777954,0.046164266822760064,,0.0292438305553977,0.06565467501122313,0.006426456595198124,0.060130483744502805,0.05705717793056042,0.3539626016536239
