method,output_dir,rms_train,rms_test,rms_all,mse_train,mse_test,mse_all,mean_midpoint_error_all_native,mean_midpoint_error_train_native,mean_midpoint_error_proxy_eci_units_all,mean_midpoint_error_proxy_eci_units_train,mean_midpoint_error_proxy_eci_units_test,capability_to_eci_affine
ECI,/sailhome/suzeva/emergent-doordash/suze_experiments/20260202/results/_smoke_compare/eci,0.04922781937364047,,0.04922781937364047,0.002423378200283772,,0.002423378200283772,0.6059568268669275,0.6059568268669275,0.6059568268669275,0.6059568268669275,,
PC2,/sailhome/suzeva/emergent-doordash/suze_experiments/20260202/results/_smoke_compare/pc2,0.04968528317931275,,0.04968528317931275,0.0024686273646084985,,0.0024686273646084985,0.050482288530762406,0.050482288530762406,2.3160869144250094,2.3160869144250094,,"{'a': 11.998223592047617, 'b': 123.56512038306525}"
PC3,/sailhome/suzeva/emergent-doordash/suze_experiments/20260202/results/_smoke_compare/pc3,0.04395205512529182,,0.04395205512529182,0.0019317831497366912,,0.0019317831497366912,0.04161306447925887,0.04161306447925887,1.1516951543500125,1.1516951543500125,,"{'a': 13.647504800324372, 'b': 124.7166753116644}"
