n_models,rms_train,rms_test,rms_all,rms_h0_all,rms_h0_test,midpoint_h_0.0,midpoint_h_0.2,midpoint_h_0.4,midpoint_h_0.6,midpoint_h_0.8,midpoint_h_1.0
5,0.02525903695558785,0.27742627371552364,0.23046268753912555,0.43365168049044395,0.5223386086145116,7.8019990636829615,7.374249772696204,6.6086612698294065,6.161127249508152,5.833488611629672,5.098461217189021
6,0.052028205217574064,0.14491111553594918,0.11891013384266921,0.2181824152061992,0.2752753334747436,2.0818136838142154,1.3085900332091556,0.5558791777317471,0.391871299595155,0.5752436422650375,0.5610978157303226
7,0.05174045925271781,0.1120767967320279,0.09075736924528009,0.15581908660396315,0.20651988871681312,1.678097328844384,0.9457336616193445,0.18089114254301275,0.059364562612812755,0.03017212110002454,0.2937628005065669
8,0.049368608104695504,0.09900256712384448,0.07822649091997651,0.12254296208731415,0.17085664345280344,1.4831426349087256,0.7805691826375982,0.009078969338125797,0.2747379522597493,0.3265633232775853,0.7092419558135843
9,0.04685671843250708,0.11176429993506427,0.08185306184720363,0.13240059110345537,0.1977053725759586,1.5457336306858227,0.8367913239322016,0.068659609871078,0.20244274305922105,0.23255362995757656,0.5848596062622864
10,0.04519091398498876,0.10279041922106522,0.07237809093997323,0.10384533718568051,0.16460922206884337,1.4180468118512108,0.7443961722027534,0.03489484029099155,0.35892803842808174,0.47962061958612323,0.956516905492018
11,0.04358145446832887,0.10035979718102857,0.06673324666180792,0.08409455605909234,0.14134459037843466,1.345413879050681,0.7056110676067611,0.08617932776498421,0.45787542539469706,0.6529156919685797,1.224354937964359
12,0.043137040632465325,0.08673706692136164,0.05724013365135878,0.05300480887809572,0.08345029602077568,1.2421119525208588,0.638975092781316,0.17366489841381988,0.6023043733644411,0.8767513560496925,1.5412077565140787
13,0.04637764719206574,0.04284860933760956,0.04573669890965135,0.03520327749083825,0.020169494177713045,1.1718459941711505,0.5647345588091928,0.26606908737068163,0.7200876599970361,1.023278299801637,1.717673900273315
14,0.0460760806158796,0.027940838658228013,0.044217822904588464,0.037150083156343425,0.02355913557910879,1.1602637627382684,0.5333500398534607,0.29457827015232296,0.732989043924267,1.0135317381426143,1.6815874881554607
15,0.044756455748418265,0.03236331123039223,0.04408407371233762,0.03663842621133681,0.0030013863091696846,1.1605822687191296,0.5212850648153586,0.30155505318625797,0.7244700259593632,0.9834070389008525,1.6264183661487148
16,0.043900999424147324,,0.043900999424147324,0.03781416516044366,,1.1529157141417037,0.5053756682746985,0.31439678746605393,0.7271395255951482,0.9714862943321514,1.597236361813658
