method,output_dir,rms_train,rms_test,rms_all,mse_train,mse_test,mse_all,mean_midpoint_error_all_native,mean_midpoint_error_train_native,mean_midpoint_error_proxy_eci_units_all,mean_midpoint_error_proxy_eci_units_train,mean_midpoint_error_proxy_eci_units_test,n_pcs,capability_to_eci_affine
ECI,/sailhome/suzeva/emergent-doordash/suze_experiments/20260202/results/compare_eci_vs_pcs_feb_15/eci,0.05927158496972708,0.10636757934296268,0.08888841421668033,0.003513120784823577,0.01131406193528146,0.007901150181956137,3.0353781839618685,0.5738077383974227,3.0353781839618685,0.5738077383974227,6.189829932778546,,
PC1,/sailhome/suzeva/emergent-doordash/suze_experiments/20260202/results/compare_eci_vs_pcs_feb_15/pc1,0.06945068910278586,0.030700968466073758,0.05138502499558872,0.004823398216851818,0.0009425494647548553,0.002640420793797277,0.09694008793865674,0.06450510156468282,3.1118489818584294,0.6267260966560056,6.0020025702642625,1.0,"{'a': 6.587335586846193, 'b': 120.99215751988986}"
PC1+PC2,/sailhome/suzeva/emergent-doordash/suze_experiments/20260202/results/compare_eci_vs_pcs_feb_15/pc2,0.05840759328489204,0.05944513937592257,0.058993458340808484,0.003411446953333366,0.00353372459542286,0.003480228127008706,0.18306875261712127,0.09166774833182793,3.1847393515486404,0.7984623528971624,6.291985489335877,2.0,"{'a': 7.469228779013639, 'b': 122.92411534099907}"
PC1+PC2+PC3,/sailhome/suzeva/emergent-doordash/suze_experiments/20260202/results/compare_eci_vs_pcs_feb_15/pc3,0.05570760492313322,0.10038795518164222,0.08382386095030829,0.0031033372462718964,0.010077741545551406,0.007026439664616619,0.3701225275268818,0.10206149440427861,3.476362360912846,0.6210738838136988,6.518239238417178,3.0,"{'a': 6.395477695441098, 'b': 124.32342524301933}"
PC1+PC2+PC3+PC4,/sailhome/suzeva/emergent-doordash/suze_experiments/20260202/results/compare_eci_vs_pcs_feb_15/pc4,0.05445773166453977,0.10649518436922902,0.08761796705401448,0.002965644538047018,0.01134122429383608,0.007676908150678367,0.2986604278082855,0.08933643091384462,3.539477016001479,0.8719737400664196,6.5710635087292575,4.0,"{'a': 6.955529818602245, 'b': 117.83076174696593}"
PC1+PC2+PC3+PC4+PC5,/sailhome/suzeva/emergent-doordash/suze_experiments/20260202/results/compare_eci_vs_pcs_feb_15/pc5,0.043153406268540535,0.1331603125473239,0.10386906867763644,0.0018622164725777136,0.01773166883770099,0.010788783427959556,0.5633395028851163,0.11831623405949207,4.246273938729662,1.2524858921661606,7.1352331308064,5.0,"{'a': 6.065719104609191, 'b': 125.93441788444939}"
