n_models,rms_train,rms_test,rms_all,rms_h0_all,rms_h0_test,midpoint_h_0.0,midpoint_h_0.2,midpoint_h_0.4,midpoint_h_0.6,midpoint_h_0.8,midpoint_h_1.0
2,0.011963584926881467,0.5173463696939171,0.48395170097498225,0.43430659210041,0.4641031045248908,46.39069146695026,47.09127421464702,47.74416720917789,47.75599772968279,46.754266473288645,44.12689140477464
3,0.017175072831851372,0.5796214006520096,0.5225165986956601,0.2890645071304618,0.32009411644646696,77.80679398081502,78.51575526923118,79.19433694220034,79.27587200812161,78.47623914561471,76.59623985499927
4,0.016704190361243428,0.11893523699098124,0.10333900736160484,0.1277861530189781,0.14546618444342335,1.1877548236096556,0.4266965487739236,0.29648297233908405,0.37858100786255156,0.6177975034924645,3.8164126198488733
5,0.05639287269591062,0.23195403142959672,0.19489262750860917,0.3789793857929251,0.4565035717381701,3.551085566316641,2.890995194997809,2.286215897887561,2.3271277765154332,3.3620261133999167,5.828697671755228
6,0.05282255923369621,0.21243718630198405,0.1710330592719984,0.32921846776372704,0.41567519131528524,2.6300197062038513,2.055335951263351,1.490641633695579,1.443788158146765,2.0194357843286714,2.7495854648923963
7,0.05570760492313322,0.10038795518164222,0.08382386095030829,0.13817747401512362,0.18252203386162907,1.24187797780634,0.7856641955503922,0.21311243565029708,0.04636430242634226,0.029198864447897765,0.4815960006184934
8,0.05412613844713882,0.06827995734462541,0.06161084092180006,0.07870212258928248,0.10540949243378693,1.019237066555928,0.6172159423650966,0.033106962242703486,0.3073743091449421,0.44497736213626893,1.1309405981122507
9,0.051488250441061985,0.054773915072202604,0.05295082140987742,0.053970313150477595,0.07081728410913016,0.9290165832733279,0.5500306762590466,0.045029126942126296,0.42606163237358397,0.6300238102006941,1.4048631009777708
10,0.04916680482921818,0.04800975251833172,0.048736129432109365,0.04059224244652274,0.04727096271951598,0.8644824006171932,0.5088050524426423,0.09300368116333285,0.5040614510653307,0.7560647445383497,1.5928504086395225
11,0.04720657610468037,0.043924145847887834,0.04620587222226831,0.03375425224134574,0.023466934590895317,0.8146918329093922,0.48861667572229883,0.12443261960735985,0.574558063589444,0.884514754323436,1.7919074509130466
12,0.045514825106589635,0.044302749862307346,0.0452148525343512,0.033637821981149764,0.016627292103253897,0.7820176643005861,0.4778909977213366,0.14313961063981478,0.6192287423645192,0.9658166509404342,1.915932250375793
13,0.04608817195470042,0.026703899113945558,0.04312253573198545,0.037864413525571274,0.03896925907448778,0.7565784275318539,0.4360805302859525,0.18915302675849896,0.6621125829221678,1.0011499700106405,1.9410931268035476
14,0.04525885593612351,0.018677679619089567,0.04284770122258724,0.03864700641727416,0.04033315437883957,0.7510467687233437,0.41415865496660687,0.20956378616168564,0.6699857853862442,0.9897474581464065,1.9064070805701596
15,0.04402743775744321,0.016333163829531254,0.04282449749629684,0.03879214094428115,0.04631539928491035,0.7479973730615939,0.405051317148294,0.2178521048514326,0.6730468635537948,0.9847744687707525,1.8916500645930463
16,0.04280421289649506,,0.04280421289649506,0.037509393026255514,,0.752719791205624,0.40018487030578775,0.21795221723162111,0.658897488295311,0.9501576613230605,1.8325683388880605
